date,geboostert,vollst. geimpft,nicht vollst. geimpft
2021-07-04,,0.2,0.0
2021-07-11,,0.0,1.8
2021-07-18,,0.4,3.9
2021-07-25,,0.8,5.0
2021-08-01,,0.7,9.1
2021-08-08,,0.9,10.3
2021-08-15,,1.6,22.5
2021-08-22,,2.4,28.4
2021-08-29,,2.4,33.3
2021-09-05,,2.5,30.8
2021-09-12,,2.6,23.1
2021-09-19,,2.5,24.6
2021-09-26,,2.0,26.0
2021-10-03,,1.9,16.9
2021-10-10,,2.5,17.9
2021-10-17,,2.4,16.9
2021-10-24,,3.3,17.1
2021-10-31,,3.8,27.5
2021-11-07,,5.2,32.1
2021-11-14,,6.8,43.2
2021-11-21,,10.4,72.9
2021-11-28,,12.7,88.8
2021-12-05,7.8,16.8,104.0
2021-12-12,7.0,19.6,102.6
2021-12-19,5.7,15.0,118.7
2021-12-26,6.9,18.4,103.0
2022-01-02,7.4,17.4,100.2
2022-01-09,6.5,20.8,94.9
2022-01-16,4.7,18.4,74.9
2022-01-23,3.1,15.8,47.7
