,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
38,Herisau (Bachwis),,,,2022-03-17,
39,Lyss,,,,2022-03-10,
40,Appenzell (Boedeli),,,,2022-03-31,
41,St.Gallen (Au),,,,2022-04-01,
42,St.Gallen (Hofen),,,,2022-03-07,
43,Aarwangen (Zala),,,,2022-02-10,
44,Steinach (Morgental),,,,2022-03-17,
45,Au (Rosenbergsau),,,,2022-03-07,
46,Altenrhein,2023-03-30,19.9,-12.6,2022-03-15,12.6
47,Buchs,,,,2022-03-07,
48,Bad Ragaz,,,,2022-03-05,
49,Flums (Seez),2023-04-05,5.7,1.9,2022-03-05,1.9
50,Rapperswil-Jona,2023-04-03,13.3,2.2,2022-03-06,2.2
51,Flawil (Oberglatt),,,,2022-03-07,
52,Wil,,,,2022-03-07,
53,Region Bern,2023-03-31,1.6,-3.0,2022-02-10,3.0
54,Poschiavo (Li Geri),,,,2022-11-05,
55,Schluein (Gruob),2023-03-29,26.2,-10.5,2023-02-27,10.5
56,Worblental,,,,2022-03-06,
57,Cazis (Waldau),,,,2022-04-07,
58,Scuol (Sot Ruinas),,,,2022-07-02,
59,S-chanf (Oberengadin),2023-03-29,21.2,-10.9,2022-12-31,10.9
60,Davos (Gadenstatt),2023-03-29,22.7,-20.1,2022-02-26,20.1
61,Klosters (Gulfia),,,,2022-12-22,
62,Chur,2023-03-30,17.0,-1.2,2022-03-12,1.2
63,Arosa,,,,2022-04-09,
64,Landquart,,,,2022-11-07,
65,Seewis (Vorderes Prättigau),,,,2022-02-28,
66,Aarau,,,,2022-12-04,
67,Burgdorf,,,,2022-10-17,
68,Baden,,,,2022-12-09,
69,Bremgarten,,,,2022-07-22,
70,Wohlen,,,,2022-12-09,
71,Moossee-Urtenenbach,,,,2022-03-07,
72,Brugg,,,,2022-12-10,
73,Reinach,,,,2022-03-10,
74,Kaisten,,,,2022-07-19,
75,Lenzburg,,,,2022-11-29,
76,Aarburg,,,,2022-03-07,
77,Zofingen,,,,2022-12-23,
78,"Hefenhofen (Aachtal, Moos)",,,,2022-03-05,
79,Frauenfeld,2023-04-05,49.1,38.2,2022-03-05,38.2
80,Weinfelden (Mittelthurgau),,,,2022-03-05,
81,Bellinzona (Giubiasco),,,,2022-03-22,
82,Locarno (Foce Ticino),,,,2022-03-25,
83,Locarno (Foce Maggia),2023-04-07,2.7,-0.1,2022-03-22,0.1
84,Lugano,2023-04-04,0.7,-17.2,2022-03-13,17.2
85,Mendrisio (Rancate),,,,2022-02-10,
86,Chiasso (Vacallo),2023-04-07,5.9,1.7,2022-10-08,1.7
87,Bülach,2023-04-06,18.2,-27.1,2022-03-10,27.1
88,Lausanne (Vidy),2023-04-02,8.5,-20.6,2022-03-07,20.6
89,Morges,,,,2022-03-06,
90,Commugny,,,,2022-03-07,
91,Gland (Apec),,,,2022-03-30,
92,Nyon,,,,2022-03-28,
93,Grindelwald,2023-04-06,21.9,-21.3,2022-07-11,21.3
94,Lauterbrunnen,,,,2022-02-10,
95,Montreux/Pierrier,,,,2022-07-11,
96,Vevey (Aviron),,,,2022-03-05,
97,Interlaken,,,,2022-03-07,
98,Yverdon,,,,2022-07-11,
99,Brig-Glis (Briglina),2023-04-06,8.9,-8.7,2022-09-24,8.7
100,Bagnes-Le Châble,2023-04-04,25.9,-5.6,2023-02-23,5.6
101,Goms,,,,2022-07-17,
102,Martigny,2023-04-05,42.0,29.1,2022-10-10,29.1
103,Sierre/Noes,2023-04-07,7.6,-27.9,2023-03-26,27.9
104,Sion/Chateauneuf,,,,2022-06-18,
105,Zermatt,,,,2022-07-15,
106,Colombier (La Saunerie),,,,2022-10-02,
107,La-Chaux-de-Fonds,,,,2022-03-06,
108,Neuchatel,2023-04-05,8.1,-13.9,2022-03-12,13.9
109,Satigny/Bois-de-Bay,,,,2022-03-21,
110,Thonex/Villette,,,,2022-03-25,
111,Aire,2023-04-04,27.9,-1.8,2022-12-03,1.8
112,Laupen,2023-03-30,34.0,13.0,2022-03-12,13.0
113,Delemont (Sede),2023-04-03,21.3,-2.6,2022-02-10,2.6
114,Porrentruy (Sepe),2023-04-05,17.0,-63.1,2022-11-17,63.1
115,Biel,,,,2022-03-06,
116,Saanen,,,,2022-03-08,
117,Niederglatt (Fischb.-Gl.),,,,2022-07-11,
118,Thunersee,2023-04-05,10.2,3.7,2022-03-08,3.7
119,Mittl. Emmental,,,,2022-03-05,
