,date,aktuell betreut
2,2020-05-01,
3,2020-05-02,
4,2020-05-03,
5,2020-05-04,
6,2020-05-05,
7,2020-05-06,
8,2020-05-07,
9,2020-05-08,
10,2020-05-09,
11,2020-05-10,
12,2020-05-11,
13,2020-05-12,
14,2020-05-13,
15,2020-05-14,
16,2020-05-15,
17,2020-05-16,
18,2020-05-17,
19,2020-05-18,
20,2020-05-19,
21,2020-05-20,
22,2020-05-21,
23,2020-05-22,
24,2020-05-23,
25,2020-05-24,
26,2020-05-25,
27,2020-05-26,
28,2020-05-27,
29,2020-05-28,
30,2020-05-29,
31,2020-05-30,
32,2020-05-31,
33,2020-06-01,
34,2020-06-02,
35,2020-06-03,
36,2020-06-04,
37,2020-06-05,
38,2020-06-06,
39,2020-06-07,
40,2020-06-08,
41,2020-06-09,
42,2020-06-10,
43,2020-06-11,
44,2020-06-12,
45,2020-06-15,
46,2020-06-16,
47,2020-06-17,
48,2020-06-18,
49,2020-06-19,
50,2020-06-22,
51,2020-06-23,
52,2020-06-24,
53,2020-06-25,
54,2020-06-26,
55,2020-06-29,
56,2020-06-30,
57,2020-07-01,
58,2020-07-02,
59,2020-07-03,
60,2020-07-06,
61,2020-07-07,
62,2020-07-08,
63,2020-07-09,
64,2020-07-10,
65,2020-07-13,223
66,2020-07-14,314
67,2020-07-15,357
68,2020-07-16,461
69,2020-07-17,543
70,2020-07-20,977
71,2020-07-21,1073
72,2020-07-22,1149
73,2020-07-23,1292
74,2020-07-24,1626
75,2020-07-27,2130
76,2020-07-28,2513
77,2020-07-29,1907
78,2020-07-30,2064
79,2020-07-31,2224
80,2020-08-01,2224
81,2020-08-02,2224
82,2020-08-03,2096
83,2020-08-04,2045
84,2020-08-05,1833
85,2020-08-06,1740
86,2020-08-07,1687
87,2020-08-08,1687
88,2020-08-09,1687
89,2020-08-10,1517
90,2020-08-11,1377
91,2020-08-12,1219
92,2020-08-13,1123
93,2020-08-14,1112
94,2020-08-15,1112
95,2020-08-16,1112
96,2020-08-17,1285
