Datum,Fälle,7-Tages-Durchschnitt,baseline
2020-02-24,0,,0
2020-02-25,1,,0
2020-02-26,0,,0
2020-02-27,0,0.71,0
2020-02-28,0,0.86,0
2020-02-29,2,0.86,0
2020-03-01,2,1.29,0
2020-03-02,1,1.57,0
2020-03-03,1,1.86,0
2020-03-04,3,1.57,0
2020-03-05,2,1.43,0
2020-03-06,2,1.71,0
2020-03-07,0,2.0,0
2020-03-08,1,2.57,0
2020-03-09,3,3.29,0
2020-03-10,3,3.86,0
2020-03-11,7,5.29,0
2020-03-12,7,6.29,0
2020-03-13,6,10.57,0
2020-03-14,10,15.29,0
2020-03-15,8,19.29,0
2020-03-16,33,23.0,0
2020-03-17,36,27.43,0
2020-03-18,35,27.57,0
2020-03-19,33,27.71,0
2020-03-20,37,29.0,0
2020-03-21,11,31.57,0
2020-03-22,9,33.29,0
2020-03-23,42,33.57,0
2020-03-24,54,36.14,0
2020-03-25,47,37.71,0
2020-03-26,35,39.0,0
2020-03-27,55,41.71,0
2020-03-28,22,40.0,0
2020-03-29,18,38.57,0
2020-03-30,61,38.43,0
2020-03-31,42,36.29,0
2020-04-01,37,36.43,0
2020-04-02,34,35.43,0
2020-04-03,40,33.14,0
2020-04-04,23,31.86,0
2020-04-05,11,29.71,0
2020-04-06,45,28.43,0
2020-04-07,33,24.29,0
2020-04-08,22,21.71,0
2020-04-09,25,21.29,0
2020-04-10,11,16.57,0
2020-04-11,5,15.29,0
2020-04-12,8,14.43,0
2020-04-13,12,13.57,0
2020-04-14,24,15.29,0
2020-04-15,16,15.43,0
2020-04-16,19,14.29,0
2020-04-17,23,14.43,0
2020-04-18,6,13.29,0
2020-04-19,0,12.86,0
2020-04-20,13,11.86,0
2020-04-21,16,10.29,0
2020-04-22,13,10.14,0
2020-04-23,12,10.29,0
2020-04-24,12,10.0,0
2020-04-25,5,8.29,0
2020-04-26,1,7.71,0
2020-04-27,11,7.0,0
2020-04-28,4,6.0,0
2020-04-29,9,5.71,0
2020-04-30,7,5.57,0
2020-05-01,5,5.29,0
2020-05-02,3,5.14,0
2020-05-03,0,4.43,0
2020-05-04,9,3.71,0
2020-05-05,3,3.71,0
2020-05-06,4,4.14,0
2020-05-07,2,4.43,0
2020-05-08,5,3.43,0
2020-05-09,6,3.57,0
2020-05-10,2,3.71,0
2020-05-11,2,3.71,0
2020-05-12,4,3.57,0
2020-05-13,5,3.29,0
2020-05-14,2,3.0,0
2020-05-15,4,3.29,0
2020-05-16,4,3.29,0
2020-05-17,0,2.86,0
2020-05-18,4,2.57,0
2020-05-19,4,2.14,0
2020-05-20,2,1.57,0
2020-05-21,0,1.57,0
2020-05-22,1,1.14,0
2020-05-23,0,0.86,0
2020-05-24,0,0.57,0
2020-05-25,1,1.43,0
2020-05-26,2,1.43,0
2020-05-27,0,1.71,0
2020-05-28,6,1.86,0
2020-05-29,1,1.71,0
2020-05-30,2,1.86,0
2020-05-31,1,1.86,0
2020-06-01,0,1.0,0
2020-06-02,3,0.86,0
2020-06-03,0,0.71,0
2020-06-04,0,0.71,0
2020-06-05,0,0.86,0
2020-06-06,1,0.43,0
2020-06-07,1,0.57,0
2020-06-08,1,1.14,0
