,Datum,Patienten ohne Intensivpflege,Patienten auf Intensivstation,freie Intensivplätze
0,2020-02-26,0.0,0.0,
1,2020-02-27,0.0,0.0,
2,2020-02-28,0.0,0.0,
3,2020-02-29,0.0,0.0,
4,2020-03-01,0.0,0.0,
5,2020-03-02,0.0,0.0,
6,2020-03-03,0.0,0.0,
7,2020-03-04,0.0,0.0,
8,2020-03-05,0.0,0.0,
9,2020-03-06,0.0,0.0,
10,2020-03-07,0.0,0.0,
11,2020-03-08,0.0,0.0,
12,2020-03-09,0.0,0.0,
13,2020-03-10,0.0,0.0,
14,2020-03-11,0.0,0.0,
15,2020-03-12,0.0,0.0,
16,2020-03-13,0.0,0.0,
17,2020-03-14,0.0,0.0,
18,2020-03-15,0.0,0.0,
19,2020-03-16,0.0,0.0,
20,2020-03-17,0.0,0.0,
21,2020-03-18,0.0,0.0,
22,2020-03-19,0.0,0.0,
23,2020-03-20,0.0,0.0,
24,2020-03-21,0.0,0.0,
25,2020-03-22,0.0,0.0,
26,2020-03-23,10.0,3.0,
27,2020-03-24,13.0,2.0,
28,2020-03-25,26.0,7.0,37.0
29,2020-03-26,28.0,10.0,35.0
30,2020-03-27,28.0,10.0,35.0
31,2020-03-28,28.0,10.0,35.0
32,2020-03-29,28.0,10.0,35.0
33,2020-03-30,38.0,12.0,35.0
34,2020-03-31,63.0,22.0,39.0
35,2020-04-01,67.0,27.0,20.0
36,2020-04-02,69.0,27.0,39.0
37,2020-04-03,73.0,27.0,38.0
38,2020-04-04,73.0,27.0,38.0
39,2020-04-05,73.0,27.0,38.0
40,2020-04-06,73.0,27.0,38.0
41,2020-04-07,59.0,25.0,38.0
42,2020-04-08,56.0,23.0,27.0
43,2020-04-09,58.0,22.0,35.0
44,2020-04-10,53.0,23.0,35.0
45,2020-04-11,53.0,23.0,39.0
46,2020-04-12,53.0,23.0,39.0
47,2020-04-13,53.0,23.0,39.0
48,2020-04-14,52.0,22.0,37.0
49,2020-04-15,46.0,20.0,34.0
50,2020-04-16,38.0,20.0,33.0
51,2020-04-17,35.0,20.0,34.0
52,2020-04-18,35.0,20.0,34.0
53,2020-04-19,35.0,20.0,34.0
54,2020-04-20,27.0,16.0,33.0
55,2020-04-21,23.0,18.0,31.0
56,2020-04-22,19.0,15.0,30.0
57,2020-04-23,20.0,14.0,33.0
58,2020-04-24,25.0,14.0,18.0
59,2020-04-25,25.0,14.0,18.0
60,2020-04-26,25.0,14.0,18.0
61,2020-04-27,27.0,15.0,13.0
62,2020-04-28,27.0,12.0,22.0
63,2020-04-29,26.0,10.0,18.0
64,2020-04-30,23.0,9.0,16.0
65,2020-05-01,23.0,9.0,19.0
66,2020-05-02,23.0,9.0,19.0
67,2020-05-03,23.0,9.0,19.0
68,2020-05-04,27.0,5.0,23.0
69,2020-05-05,15.0,5.0,21.0
70,2020-05-06,17.0,5.0,14.0
71,2020-05-07,14.0,4.0,18.0
72,2020-05-08,12.0,3.0,18.0
73,2020-05-09,12.0,3.0,18.0
74,2020-05-10,12.0,3.0,18.0
75,2020-05-11,10.0,2.0,22.0
76,2020-05-12,6.0,2.0,16.0
77,2020-05-13,6.0,1.0,17.0
78,2020-05-14,8.0,1.0,18.0
79,2020-05-15,11.0,1.0,21.0
80,2020-05-16,11.0,1.0,21.0
81,2020-05-17,11.0,1.0,21.0
82,2020-05-18,6.0,1.0,18.0
83,2020-05-19,6.0,4.0,18.0
84,2020-05-20,9.0,2.0,12.0
85,2020-05-21,9.0,2.0,12.0
86,2020-05-22,7.0,2.0,16.0
87,2020-05-23,7.0,2.0,16.0
88,2020-05-24,7.0,2.0,16.0
89,2020-05-25,5.0,1.0,16.0
90,2020-05-26,4.0,1.0,18.0
91,2020-05-27,4.0,1.0,15.0
92,2020-05-28,5.0,1.0,21.0
93,2020-05-29,3.0,1.0,13.0
94,2020-05-30,3.0,1.0,13.0
95,2020-05-31,3.0,1.0,13.0
96,2020-06-01,3.0,1.0,13.0
97,2020-06-02,3.0,1.0,20.0
98,2020-06-03,1.0,1.0,16.0
99,2020-06-04,1.0,2.0,22.0
100,2020-06-05,1.0,1.0,18.0
101,2020-06-06,1.0,1.0,18.0
102,2020-06-07,1.0,1.0,18.0
103,2020-06-08,3.0,1.0,15.0
104,2020-06-09,2.0,1.0,17.0
105,2020-06-10,1.0,1.0,14.0
106,2020-06-11,1.0,1.0,17.0
107,2020-06-12,0.0,1.0,20.0
108,2020-06-13,0.0,1.0,20.0
109,2020-06-14,0.0,1.0,20.0
110,2020-06-15,0.0,1.0,19.0
111,2020-06-16,0.0,1.0,19.0
112,2020-06-17,0.0,1.0,17.0
113,2020-06-18,0.0,1.0,19.0
114,2020-06-19,1.0,1.0,23.0
115,2020-06-20,1.0,1.0,23.0
116,2020-06-21,1.0,1.0,23.0
117,2020-06-22,2.0,0.0,22.0
118,2020-06-23,1.0,0.0,24.0
119,2020-06-24,1.0,0.0,20.0
120,2020-06-25,1.0,0.0,23.0
121,2020-06-26,0.0,1.0,21.0
122,2020-06-27,0.0,1.0,21.0
123,2020-06-28,0.0,1.0,21.0
124,2020-06-29,1.0,1.0,19.0
125,2020-06-30,1.0,1.0,19.0
126,2020-07-01,1.0,1.0,18.0
127,2020-07-02,2.0,1.0,20.0
128,2020-07-03,2.0,0.0,19.0
