date,data_version
2022-12-20,20221220-n58k4ktx
2022-12-29,20221229-gkhqi2ir
2023-01-05,20230105-fxwn4tpj
2023-01-05,20230106-b2gefnxf
2023-01-10,20230110-l0uxu2mx
2023-01-17,20230117-i4oav3jt
2023-01-24,20230124-5n1kga1r
2023-01-31,20230131-hrh4p06p
2023-02-07,20230207-69cnh2t9
2023-02-14,20230214-ol895jcn
2023-02-14,20230214-4bwaqnkd
2023-02-14,20230215-3oqtjgt0
2023-02-21,20230221-lwzk1h05
2023-02-28,20230228-nt4kcfrb
2023-02-28,20230307-mnjk6yhs
2023-03-07,20230307-oqnfnk3i
2023-03-14,20230314-o5b3h58r
2023-03-21,20230321-7wuqdtxj
2023-03-28,20230328-4v6qvq0g
2023-04-04,20230404-d8dyhq6v
2023-04-11,20230411-n9izx3j0
2023-04-18,20230418-9fimp7v8
2023-04-25,20230425-ec92ewxl
2023-04-25,20230425-qddbkj98
2023-05-02,20230502-tmiipacr
2023-05-02,20230503-r0mxc3f3
2023-05-09,20230509-7yokg1ey
2023-05-09,20230509-izvdl0ym
