datum,SZ,Schweiz
2020-06-15,0.7,0.4
2020-06-22,1.7,0.7
2020-06-29,2.2,1.1
2020-07-06,2.6,1.5
2020-07-13,1.8,2.0
2020-07-20,1.9,2.6
2020-07-27,4.2,3.5
2020-08-03,3.0,3.3
2020-08-10,2.7,4.1
2020-08-17,3.3,3.6
2020-08-24,1.9,3.1
2020-08-31,1.7,3.1
2020-09-07,2.1,3.6
2020-09-14,1.5,3.8
2020-09-21,2.3,3.7
2020-09-28,7.5,5.3
2020-10-05,17.0,10.0
2020-10-12,21.2,15.4
2020-10-19,25.4,22.6
2020-10-26,25.3,26.5
2020-11-02,20.6,26.5
2020-11-09,18.3,24.0
2020-11-16,18.6,20.8
2020-11-23,17.2,17.6
2020-11-30,18.4,17.8
2020-12-07,21.0,15.3
2020-12-14,18.2,12.9
2020-12-21,17.4,12.6
2020-12-28,21.0,16.8
2021-01-04,20.8,14.5
2021-01-11,13.6,11.7
2021-01-18,10.3,9.4
