,date,Neue Fälle,7-Tages-Durchschnitt,baseline
0,2020-02-26,1,,0
1,2020-02-29,2,1,0
2,2020-03-01,1,1.2857142857142858,0
3,2020-03-02,3,1.4285714285714286,0
4,2020-03-04,3,1.5714285714285714,0
5,2020-03-05,1,1.4285714285714286,0
6,2020-03-06,1,1.1428571428571428,0
7,2020-03-07,2,1.5714285714285714,0
8,2020-03-09,1,2.2857142857142856,0
9,2020-03-10,3,2.5714285714285716,0
10,2020-03-11,2,2.7142857142857144,0
11,2020-03-12,7,4.142857142857143,0
12,2020-03-13,3,5.857142857142857,0
13,2020-03-14,3,7.285714285714286,0
14,2020-03-15,10,10.857142857142858,0
15,2020-03-16,13,15.285714285714286,0
16,2020-03-17,13,20.714285714285715,0
17,2020-03-18,27,27.142857142857142,0
18,2020-03-19,38,27.428571428571427,0
19,2020-03-20,41,27,0
20,2020-03-21,48,30.571428571428573,0
21,2020-03-22,12,31.714285714285715,0
22,2020-03-23,10,33.285714285714285,0
23,2020-03-24,38,33.142857142857146,0
24,2020-03-25,35,31.571428571428573,0
25,2020-03-26,49,35.714285714285715,0
26,2020-03-27,40,37.285714285714285,0
27,2020-03-28,37,38.714285714285715,0
28,2020-03-29,41,39.714285714285715,0
29,2020-03-30,21,37.714285714285715,0
30,2020-03-31,48,38,0
31,2020-04-01,42,36.857142857142854,0
32,2020-04-02,35,35.857142857142854,0
33,2020-04-03,42,36.714285714285715,0
34,2020-04-04,29,34.142857142857146,0
35,2020-04-05,34,33.714285714285715,0
36,2020-04-06,27,31.714285714285715,0
37,2020-04-07,30,29.571428571428573,0
38,2020-04-08,39,28.428571428571427,0
39,2020-04-09,21,24.714285714285715,0
40,2020-04-10,27,21.857142857142858,0
41,2020-04-11,21,19.571428571428573,0
42,2020-04-12,8,16.142857142857142,0
43,2020-04-13,7,15.571428571428571,0
44,2020-04-14,14,15.428571428571429,0
45,2020-04-15,15,15.285714285714286,0
46,2020-04-16,17,15.285714285714286,0
47,2020-04-17,26,14.571428571428571,0
48,2020-04-18,20,13.857142857142858,0
49,2020-04-19,8,13.285714285714286,0
50,2020-04-20,2,13,0
51,2020-04-21,9,11.714285714285714,0
52,2020-04-22,11,10,0
53,2020-04-23,15,10.285714285714286,0
54,2020-04-24,17,10.714285714285714,0
55,2020-04-25,8,10.285714285714286,0
56,2020-04-26,10,9.714285714285714,0
57,2020-04-27,5,8.428571428571429,0
58,2020-04-28,6,7.714285714285714,0
59,2020-04-29,7,7.285714285714286,0
60,2020-04-30,6,6.428571428571429,0
61,2020-05-01,12,6,0
62,2020-05-02,5,6,0
63,2020-05-03,4,5.571428571428571,0
64,2020-05-04,2,5.285714285714286,0
65,2020-05-05,6,4.142857142857143,0
66,2020-05-06,4,3.7142857142857144,0
67,2020-05-07,4,4.142857142857143,0
68,2020-05-08,4,4.428571428571429,0
69,2020-05-09,2,3.857142857142857,0
70,2020-05-10,7,4,0
71,2020-05-11,4,4,0
72,2020-05-12,2,4,0
73,2020-05-13,5,4,0
74,2020-05-14,4,3.4285714285714284,0
75,2020-05-15,4,3.142857142857143,0
76,2020-05-16,2,3.857142857142857,0
77,2020-05-17,3,3.2857142857142856,0
78,2020-05-18,2,2.7142857142857144,0
79,2020-05-19,7,2.4285714285714284,0
80,2020-05-20,1,2.2857142857142856,0
81,2020-05-22,2,1.5714285714285714,0
82,2020-05-23,1,0.8571428571428571,0
83,2020-05-26,2,1.7142857142857142,0
84,2020-05-27,1,1.5714285714285714,0
85,2020-05-28,1,2,0
86,2020-05-29,7,2,0
87,2020-05-31,3,1.7142857142857142,0
88,2020-06-03,1,1.1428571428571428,0
89,2020-06-04,2,0.7142857142857143,0
90,2020-06-06,2,1,0
91,2020-06-09,2,1.4285714285714286,0
92,2020-06-11,3,1.5714285714285714,0
93,2020-06-12,3,1.7142857142857142,0
94,2020-06-13,1,1.5714285714285714,0
95,2020-06-14,2,1.5714285714285714,0
96,2020-06-15,1,1.5714285714285714,0
97,2020-06-16,1,1.4285714285714286,0
98,2020-06-18,3,1.4285714285714286,0
99,2020-06-19,2,1.5714285714285714,0
100,2020-06-20,3,1.4285714285714286,0
101,2020-06-22,2,2.7142857142857144,0
102,2020-06-24,7,4.142857142857143,0
103,2020-06-25,5,4.714285714285714,0
104,2020-06-26,10,5.285714285714286,0
105,2020-06-27,5,8.571428571428571,0
106,2020-06-28,4,9.714285714285714,0
107,2020-06-29,6,10.857142857142858,0
108,2020-06-30,23,10,0
109,2020-07-01,15,9.714285714285714,0
110,2020-07-02,13,9.428571428571429,0
111,2020-07-03,4,9.571428571428571,0
112,2020-07-04,3,7.428571428571429,0
113,2020-07-05,2,6.285714285714286,0
114,2020-07-06,7,5.285714285714286,0
115,2020-07-07,8,6.571428571428571,0
116,2020-07-08,7,8.142857142857142,0
117,2020-07-09,6,8.285714285714286,0
118,2020-07-10,13,8.142857142857142,0
119,2020-07-11,14,9.142857142857142,0
120,2020-07-12,3,10.142857142857142,0
121,2020-07-13,6,10.571428571428571,0
122,2020-07-14,15,10.714285714285714,0
123,2020-07-15,14,9.714285714285714,0
124,2020-07-16,9,9.571428571428571,0
125,2020-07-17,14,9.714285714285714,0
126,2020-07-18,7,10,0
127,2020-07-19,2,9.285714285714286,0
128,2020-07-20,7,10.142857142857142,0
129,2020-07-21,17,10.285714285714286,0
130,2020-07-22,9,10.142857142857142,0
131,2020-07-23,15,10.142857142857142,0
132,2020-07-24,15,9.714285714285714,0
133,2020-07-25,6,9.571428571428571,0
134,2020-07-26,2,9.857142857142858,0
135,2020-07-27,4,11,0
136,2020-07-28,16,10.285714285714286,0
137,2020-07-29,11,11.714285714285714,0
138,2020-07-30,23,11.714285714285714,0
139,2020-07-31,10,11.857142857142858,0
140,2020-08-01,16,11.714285714285714,0
141,2020-08-02,2,12.428571428571429,0
142,2020-08-03,5,11.714285714285714,0
143,2020-08-04,15,11.714285714285714,0
144,2020-08-05,16,10.571428571428571,0
145,2020-08-06,18,10.714285714285714,0
146,2020-08-07,10,11.285714285714286,0
147,2020-08-08,8,13.285714285714286,0
148,2020-08-09,3,14.428571428571429,0
149,2020-08-10,9,14.714285714285714,0
150,2020-08-11,29,15.142857142857142,0
151,2020-08-12,24,16.714285714285715,0
152,2020-08-13,20,17.857142857142858,0
153,2020-08-14,13,17.857142857142858,0
154,2020-08-15,19,17.571428571428573,0
155,2020-08-16,11,18.428571428571427,0
156,2020-08-17,9,17.714285714285715,0
157,2020-08-18,27,18.285714285714285,0
158,2020-08-19,30,18.285714285714285,0
159,2020-08-20,15,18.857142857142858,0
160,2020-08-21,17,18.857142857142858,0
