date,Neue Fälle,7-Tages-Durchschnitt,baseline
2022-01-06,1519,1335.4285714285713,0
2022-01-07,1517,1336.2857142857142,0
2022-01-08,1140,1396.7142857142858,0
2022-01-09,903,1387.4285714285713,0
2022-01-10,1028,1399,0
2022-01-11,1896,1428.2857142857142,0
2022-01-12,1709,1465.857142857143,0
2022-01-13,1600,1507,0
2022-01-14,1722,1571.4285714285713,0
2022-01-15,1403,1645,0
2022-01-16,1191,1780.2857142857142,0
2022-01-17,1479,1871.2857142857142,0
2022-01-18,2411,2018.857142857143,0
2022-01-19,2656,2160,0
2022-01-20,2237,2240.285714285714,0
2022-01-21,2755,2338.4285714285716,0
2022-01-22,2391,2459.4285714285716,0
2022-01-23,1753,2490.8571428571427,0
2022-01-24,2166,2574.4285714285716,0
2022-01-25,3258,2545.1428571428573,0
2022-01-26,2876,2552.8571428571427,0
2022-01-27,2822,2530.285714285714,0
2022-01-28,2550,2540,0
2022-01-29,2445,2474.8571428571427,0
2022-01-30,1595,2438,0
2022-01-31,2234,2364.8571428571427,0
2022-02-01,2802,2335.5714285714284,0
2022-02-02,2618,2250.714285714286,0
2022-02-03,2310,2211,0
2022-02-04,2345,2104.285714285714,0
2022-02-05,1851,2038.2857142857142,0
2022-02-06,1317,1952.2857142857142,0
2022-02-07,1487,1880.142857142857,0
2022-02-08,2340,1764.2857142857142,0
2022-02-09,2016,1713.5714285714287,0
2022-02-10,1805,1639.7142857142858,0
2022-02-11,1534,1641.2857142857142,0
2022-02-12,1496,1567.857142857143,0
2022-02-13,800,1508.4285714285713,0
2022-02-14,1498,1435.142857142857,0
2022-02-15,1826,1387.7142857142858,0
2022-02-16,1600,1329.142857142857,0
2022-02-17,1292,1300.7142857142858,0
2022-02-18,1202,1250,0
2022-02-19,1086,1234,0
2022-02-20,601,1235.2857142857142,0
2022-02-21,1143,1293,0
2022-02-22,1714,1342,0
2022-02-23,1609,1373.7142857142858,0
2022-02-24,1696,1417.4285714285713,0
2022-02-25,1545,1460.142857142857,0
2022-02-26,1308,1599.7142857142858,0
2022-02-27,907,1710.4285714285713,0
2022-02-28,1442,1883.5714285714287,0
2022-03-01,2691,,0
2022-03-02,2384,,0
2022-03-03,2908,,0
