date,Neue Fälle,7-Tages-Durchschnitt,baseline
2021-12-28,980,791.1428571428571,0
2021-12-29,903,822.7142857142857,0
2021-12-30,1150,842.5714285714286,0
2021-12-31,1028,890,0
2022-01-01,619,960.4285714285714,0
2022-01-02,528,1084.857142857143,0
2022-01-03,1022,1137.5714285714287,0
2022-01-04,1473,1207.4285714285713,0
2022-01-05,1774,1281.857142857143,0
2022-01-06,1519,1335.4285714285713,0
2022-01-07,1517,1336.2857142857142,0
2022-01-08,1140,1396.7142857142858,0
2022-01-09,903,1387.4285714285713,0
2022-01-10,1028,1399,0
2022-01-11,1896,1428.2857142857142,0
2022-01-12,1709,1465.857142857143,0
2022-01-13,1600,1507,0
2022-01-14,1722,1571.4285714285713,0
2022-01-15,1403,1645,0
2022-01-16,1191,1780.2857142857142,0
2022-01-17,1479,1871.2857142857142,0
2022-01-18,2411,2018.857142857143,0
2022-01-19,2656,2160,0
2022-01-20,2237,2240.285714285714,0
2022-01-21,2755,2338.4285714285716,0
2022-01-22,2391,2459.4285714285716,0
2022-01-23,1753,2490.8571428571427,0
2022-01-24,2166,2574.4285714285716,0
2022-01-25,3258,2545.1428571428573,0
2022-01-26,2876,2552.8571428571427,0
2022-01-27,2822,2530.285714285714,0
2022-01-28,2550,2540,0
2022-01-29,2445,2474.8571428571427,0
2022-01-30,1595,2438,0
2022-01-31,2234,2364.8571428571427,0
2022-02-01,2802,2335.5714285714284,0
2022-02-02,2618,2250.714285714286,0
2022-02-03,2310,2211,0
2022-02-04,2345,2104.285714285714,0
2022-02-05,1851,2038.7142857142858,0
2022-02-06,1317,1953.5714285714287,0
2022-02-07,1487,1881.5714285714287,0
2022-02-08,2343,1766,0
2022-02-09,2022,1715.857142857143,0
2022-02-10,1806,1642.142857142857,0
2022-02-11,1536,1644,0
2022-02-12,1500,1570.2857142857142,0
2022-02-13,801,1510,0
2022-02-14,1500,1436.5714285714287,0
2022-02-15,1827,1388.7142857142858,0
2022-02-16,1600,1329.4285714285713,0
2022-02-17,1292,1300.857142857143,0
2022-02-18,1201,1249.7142857142858,0
2022-02-19,1085,1234.7142857142858,0
2022-02-20,601,,0
2022-02-21,1142,,0
2022-02-22,1722,,0
