,date,Neue Fälle,7-Tages-Durchschnitt,baseline
0,2020-02-26,1,,0
1,2020-02-27,0,,0
2,2020-02-28,0,,0
3,2020-02-29,2,,0
4,2020-03-01,1,,0
5,2020-03-02,3,,0
6,2020-03-03,0,,0
7,2020-03-04,3,,0
8,2020-03-05,1,,0
9,2020-03-06,1,1.0,0
10,2020-03-07,2,1.3,0
11,2020-03-08,0,1.4,0
12,2020-03-09,1,1.6,0
13,2020-03-10,3,1.6,0
14,2020-03-11,2,1.4,0
15,2020-03-12,7,1.1,0
16,2020-03-13,3,1.6,0
17,2020-03-14,3,1.4,0
18,2020-03-15,10,2.3,0
19,2020-03-16,13,2.6,0
20,2020-03-17,13,2.7,0
21,2020-03-18,27,4.1,0
22,2020-03-19,38,5.9,0
23,2020-03-20,41,7.3,0
24,2020-03-21,48,10.9,0
25,2020-03-22,12,15.3,0
26,2020-03-23,10,20.7,0
27,2020-03-24,38,27.1,0
28,2020-03-25,35,27.4,0
29,2020-03-26,49,27.0,0
30,2020-03-27,40,30.6,0
31,2020-03-28,37,31.7,0
32,2020-03-29,41,33.3,0
33,2020-03-30,21,33.1,0
34,2020-03-31,48,31.6,0
35,2020-04-01,42,35.7,0
36,2020-04-02,35,37.3,0
37,2020-04-03,42,38.7,0
38,2020-04-04,29,39.7,0
39,2020-04-05,34,37.7,0
40,2020-04-06,27,38.0,0
41,2020-04-07,30,36.9,0
42,2020-04-08,39,35.9,0
43,2020-04-09,21,36.7,0
44,2020-04-10,27,34.1,0
45,2020-04-11,21,33.7,0
46,2020-04-12,8,31.7,0
47,2020-04-13,7,29.6,0
48,2020-04-14,14,28.4,0
49,2020-04-15,15,24.7,0
50,2020-04-16,17,21.9,0
51,2020-04-17,26,19.6,0
52,2020-04-18,19,16.1,0
53,2020-04-19,8,15.6,0
54,2020-04-20,2,15.4,0
55,2020-04-21,9,15.1,0
56,2020-04-22,11,15.1,0
57,2020-04-23,15,14.4,0
58,2020-04-24,17,13.7,0
59,2020-04-25,8,13.1,0
60,2020-04-26,10,12.9,0
61,2020-04-27,5,11.6,0
62,2020-04-28,6,10.0,0
63,2020-04-29,7,10.3,0
64,2020-04-30,6,10.7,0
65,2020-05-01,12,10.3,0
66,2020-05-02,5,9.7,0
67,2020-05-03,4,8.4,0
68,2020-05-04,2,7.7,0
69,2020-05-05,6,7.3,0
70,2020-05-06,4,6.4,0
71,2020-05-07,4,6.0,0
72,2020-05-08,4,6.0,0
73,2020-05-09,2,5.6,0
74,2020-05-10,7,5.3,0
75,2020-05-11,4,4.1,0
76,2020-05-12,2,3.7,0
77,2020-05-13,5,4.1,0
78,2020-05-14,4,4.4,0
79,2020-05-15,4,3.9,0
80,2020-05-16,2,4.0,0
81,2020-05-17,3,4.0,0
82,2020-05-18,2,4.0,0
83,2020-05-19,7,4.0,0
84,2020-05-20,1,3.4,0
85,2020-05-21,0,3.1,0
86,2020-05-22,2,3.9,0
87,2020-05-23,1,3.3,0
88,2020-05-24,0,2.7,0
89,2020-05-25,0,2.4,0
90,2020-05-26,2,2.3,0
91,2020-05-27,1,1.9,0
92,2020-05-28,1,1.6,0
93,2020-05-29,7,0.9,0
94,2020-05-30,0,0.9,0
95,2020-05-31,3,1.0,0
96,2020-06-01,0,1.7,0
97,2020-06-02,0,1.6,0
98,2020-06-03,1,2.0,0
99,2020-06-04,2,2.0,0
100,2020-06-05,0,1.7,0
101,2020-06-06,2,1.7,0
102,2020-06-07,0,1.9,0
103,2020-06-08,0,0.9,0
104,2020-06-09,2,1.1,0
105,2020-06-10,0,0.7,0
106,2020-06-11,3,0.7,0
107,2020-06-12,3,1.0,0
108,2020-06-13,1,0.9,0
109,2020-06-14,2,1.0,0
110,2020-06-15,1,1.4,0
111,2020-06-16,1,1.3,0
112,2020-06-17,0,1.6,0
113,2020-06-18,3,1.7,0
114,2020-06-19,2,1.6,0
115,2020-06-20,3,1.6,0
116,2020-06-21,0,1.6,0
117,2020-06-22,2,1.4,0
118,2020-06-23,0,1.7,0
119,2020-06-24,7,1.4,0
120,2020-06-25,5,1.6,0
121,2020-06-26,10,1.4,0
122,2020-06-27,5,2.4,0
123,2020-06-28,4,2.7,0
124,2020-06-29,6,3.9,0
125,2020-06-30,23,4.1,0
126,2020-07-01,15,4.7,0
127,2020-07-02,13,5.3,0
128,2020-07-03,4,8.6,0
129,2020-07-04,3,9.7,0
130,2020-07-05,2,10.9,0
131,2020-07-06,7,10.0,0
132,2020-07-07,8,9.7,0
133,2020-07-08,7,9.4,0
134,2020-07-09,6,9.6,0
135,2020-07-10,13,7.4,0
136,2020-07-11,14,6.3,0
137,2020-07-12,3,5.3,0
138,2020-07-13,6,6.6,0
139,2020-07-14,15,8.1,0
140,2020-07-15,14,8.3,0
141,2020-07-16,9,8.1,0
142,2020-07-17,14,9.1,0
143,2020-07-18,7,10.1,0
144,2020-07-19,2,10.6,0
145,2020-07-20,7,10.7,0
146,2020-07-21,17,9.7,0
147,2020-07-22,9,9.6,0
148,2020-07-23,15,9.7,0
149,2020-07-24,15,10.0,0
150,2020-07-25,6,9.3,0
151,2020-07-26,2,10.1,0
152,2020-07-27,4,10.3,0
153,2020-07-28,16,10.1,0
154,2020-07-29,11,10.1,0
155,2020-07-30,23,9.7,0
156,2020-07-31,10,9.6,0
157,2020-08-01,16,9.9,0
158,2020-08-02,2,11.0,0
159,2020-08-03,5,10.3,0
160,2020-08-04,15,11.7,0
161,2020-08-05,16,11.7,0
162,2020-08-06,18,11.9,0
163,2020-08-07,10,11.7,0
164,2020-08-08,8,12.4,0
165,2020-08-09,3,11.7,0
166,2020-08-10,9,11.7,0
167,2020-08-11,29,10.6,0
168,2020-08-12,24,10.7,0
169,2020-08-13,20,11.3,0
170,2020-08-14,13,13.3,0
171,2020-08-15,19,14.4,0
172,2020-08-16,11,14.7,0
173,2020-08-17,9,15.1,0
174,2020-08-18,27,16.7,0
175,2020-08-19,30,17.9,0
176,2020-08-20,15,17.9,0
177,2020-08-21,17,17.6,0
178,2020-08-22,19,18.4,0
179,2020-08-23,15,17.7,0
180,2020-08-24,9,18.3,0
181,2020-08-25,29,18.3,0
182,2020-08-26,34,18.9,0
183,2020-08-27,27,18.9,0
184,2020-08-28,23,19.1,0
185,2020-08-29,23,19.7,0
186,2020-08-30,9,21.4,0
187,2020-08-31,7,22.3,0
188,2020-09-01,18,22.9,0
189,2020-09-02,20,22.0,0
190,2020-09-03,27,21.7,0
191,2020-09-04,27,20.1,0
192,2020-09-05,20,18.1,0
193,2020-09-06,5,18.1,0
194,2020-09-07,15,18.7,0
195,2020-09-08,20,18.3,0
196,2020-09-09,19,17.7,0
197,2020-09-10,30,18.9,0
198,2020-09-11,19,19.1,0
199,2020-09-12,23,19.0,0
200,2020-09-13,13,19.4,0
201,2020-09-14,7,18.3,0
202,2020-09-15,28,18.7,0
203,2020-09-16,37,19.9,0
204,2020-09-17,22,18.7,0
205,2020-09-18,28,19.9,0
206,2020-09-19,12,22.4,0
207,2020-09-20,14,21.3,0
208,2020-09-21,10,22.6,0
209,2020-09-22,21,21.0,0
210,2020-09-23,15,21.1,0
211,2020-09-24,10,21.6,0
212,2020-09-25,17,20.6,0
213,2020-09-26,6,17.4,0
214,2020-09-27,5,15.7,0
215,2020-09-28,6,14.1,0
216,2020-09-29,10,13.3,0
217,2020-09-30,18,12.0,0
218,2020-10-01,16,11.4,0
219,2020-10-02,16,9.9,0
220,2020-10-03,24,10.3,0
221,2020-10-04,10,11.1,0
222,2020-10-05,16,11.0,0
223,2020-10-06,43,13.6,0
224,2020-10-07,55,14.3,0
225,2020-10-08,58,15.7,0
226,2020-10-09,64,20.4,0
227,2020-10-10,63,25.7,0
228,2020-10-11,24,31.7,0
229,2020-10-12,45,38.6,0
230,2020-10-13,130,44.1,0
231,2020-10-14,142,46.1,0
232,2020-10-15,147,50.3,0
233,2020-10-16,155,62.7,0
234,2020-10-17,123,75.1,0
235,2020-10-18,91,87.9,0
236,2020-10-19,87,100.9,0
237,2020-10-20,258,109.4,0
238,2020-10-21,273,119.0,0
239,2020-10-22,266,125.0,0
240,2020-10-23,264,143.3,0
241,2020-10-24,324,162.0,0
242,2020-10-25,158,179.0,0
243,2020-10-26,270,194.6,0
244,2020-10-27,441,223.3,0
245,2020-10-28,460,232.9,0
246,2020-10-29,388,259.0,0
247,2020-10-30,389,285.1,0
248,2020-10-31,367,311.9,0
249,2020-11-01,285,329.3,0
250,2020-11-02,250,347.1,0
251,2020-11-03,475,353.3,0
252,2020-11-04,495,371.4,0
253,2020-11-05,457,368.6,0
254,2020-11-06,398,373.4,0
255,2020-11-07,364,378.4,0
256,2020-11-08,128,388.3,0
257,2020-11-09,192,389.6,0
258,2020-11-10,454,389.1,0
259,2020-11-11,325,366.7,0
260,2020-11-12,330,358.4,0
261,2020-11-13,335,355.4,0
262,2020-11-14,264,331.1,0
263,2020-11-15,103,313.0,0
264,2020-11-16,227,304.0,0
265,2020-11-17,408,289.7,0
266,2020-11-18,340,286.1,0
267,2020-11-19,372,291.1,0
268,2020-11-20,453,284.6,0
269,2020-11-21,290,286.7,0
270,2020-11-22,90,292.7,0
271,2020-11-23,260,309.6,0
